id,Nombre,Etapa,FechaInicio,FechaFin,Ubicacion,Conformacion
1,Las Grandes Ligas de Baseball (MLB),Etapa 4,2018-05-27 05:53:05,2018-06-06 05:53:05,062 Havey Pass,ParJugador
2,NHL,Etapa 5,2043-03-16 15:45:36,2043-04-04 15:45:36,44948 Anthes Road,ParJugador
3,Mundial de Fórmula 1,Etapa 3,2019-05-23 19:22:43,2019-06-06 19:22:43,26193 Muir Hill,VariosJugadores
4,NHL,Etapa 5,2012-08-18 05:02:35,2012-08-31 05:02:35,8 Onsgard Point,VariosJugadores
5,Mundial de Moto GP,Etapa 4,2016-03-11 05:47:36,2016-03-29 05:47:36,5 Vidon Way,ParEquipo
6,Mundial de Moto GP,Etapa 3,2022-04-15 03:18:03,2022-04-26 03:18:03,61957 Badeau Circle,ParEquipo
7,Mundial de Fórmula 1,Etapa 3,2001-05-08 06:02:18,2001-05-23 06:02:18,7 Anzinger Street,ParEquipo
8,Liga India de Críquet,Etapa 3,2034-04-21 10:18:06,2034-04-24 10:18:06,8 Memorial Road,ParJugador
9,Tour de Francia,Etapa 5,2021-02-17 05:48:43,2021-02-21 05:48:43,2 Oriole Pass,ParJugador
10,Grand Slam de tenis,Etapa 3,2011-10-18 21:01:54,2011-10-29 21:01:54,17407 Ridge Oak Street,ParJugador
11,Liga India de Críquet,Etapa 1,2014-08-29 03:58:02,2014-09-13 03:58:02,458 New Castle Park,ParJugador
12,NHL,Etapa 2,2032-10-07 15:15:19,2032-10-25 15:15:19,11 Mesta Crossing,VariosJugadores
13,NHL,Etapa 1,2037-05-24 22:03:37,2037-06-08 22:03:37,0350 Pearson Circle,VariosJugadores
14,Liga India de Críquet,Etapa 3,2028-10-08 13:22:47,2028-10-19 13:22:47,819 Corry Crossing,ParJugador
15,Mundial de Moto GP,Etapa 3,2017-12-05 04:53:55,2017-12-24 04:53:55,9 Summit Center,ParJugador
16,Liga India de Críquet,Etapa 4,2041-11-24 02:44:14,2041-11-25 02:44:14,838 Golf Hill,ParEquipo
17,NHL,Etapa 1,2040-08-08 13:32:34,2040-08-18 13:32:34,620 Westerfield Alley,VariosJugadores
18,Mundial de Fórmula 1,Etapa 2,2020-10-08 02:04:26,2020-10-11 02:04:26,790 Thackeray Plaza,VariosJugadores
19,Liga India de Críquet,Etapa 4,2043-08-06 00:20:39,2043-08-22 00:20:39,64 Summer Ridge Center,ParJugador
20,Liga India de Críquet,Etapa 4,2035-03-07 05:43:26,2035-03-26 05:43:26,6 Coolidge Terrace,ParJugador
21,Tour de Francia,Etapa 4,2006-05-20 13:14:23,2006-05-21 13:14:23,0 Darwin Court,ParJugador
22,Tour de Francia,Etapa 4,2001-05-13 17:44:53,2001-06-01 17:44:53,9813 Brown Terrace,VariosJugadores
23,NHL,Etapa 3,2032-08-13 18:35:31,2032-09-01 18:35:31,05465 Hooker Place,ParJugador
24,Tour de Francia,Etapa 2,2018-11-08 13:13:13,2018-11-20 13:13:13,6 David Lane,ParJugador
25,NHL,Etapa 1,2017-07-08 06:39:36,2017-07-17 06:39:36,283 Buena Vista Junction,ParJugador
26,Grand Slam de tenis,Etapa 1,2000-06-13 00:13:31,2000-07-03 00:13:31,04246 Oakridge Lane,ParJugador
27,NHL,Etapa 1,2003-01-08 15:58:09,2003-01-28 15:58:09,905 Eastwood Center,ParEquipo
28,NHL,Etapa 1,2011-03-29 11:59:53,2011-04-14 11:59:53,437 Pine View Road,VariosJugadores
29,NHL,Etapa 5,2033-04-21 22:06:48,2033-04-22 22:06:48,3387 Scoville Hill,ParJugador
30,Mundial de Moto GP,Etapa 1,2012-02-19 01:21:45,2012-03-04 01:21:45,010 Sutherland Plaza,ParJugador
