Nombre,Ciudad
Honduras,Aramecina
Peru,Cairani
Jamaica,Linstead
Honduras,San José de Río Tinto
Brazil,Gavea
Honduras,El Olivar
Mexico,San Francisco
Colombia,Curumaní
Colombia,Caldono
Bolivia,San Pedro
Bolivia,Yamparáez
Paraguay,Los Cedrales
Colombia,Santo Tomás
Brazil,Laranjal Paulista
Peru,Andaray
Colombia,Marulanda
Haiti,Verrettes
Brazil,Rio Claro
Brazil,Canutama
Cuba,La Salud
Chile,San Carlos
Brazil,Maringá
Colombia,Don Matías
Peru,Sayán
Paraguay,Santa Rita
Mexico,La Laguna
Brazil,Santa Helena
Colombia,San Carlos
Jamaica,Alexandria
Brazil,São Luiz Gonzaga
